# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	26306
#@/user_id	629635a7-ef29-4691-9c28-b172d0142dcc
a 	啊	c=7 d=0.0414783 t=26306
a 	阿	c=2 d=6.04414e-50 t=26306
a bi 	阿比	c=0 d=3.07207e-58 t=26306
a er bo ta 	阿爾伯塔	c=1 d=1.09775e-09 t=26306
a hu 	呵護	c=0 d=2.31755e-07 t=26306
a li 	阿里	c=0 d=2.8497e-27 t=26306
a li yun 	阿里雲	c=1 d=2.86398e-26 t=26306
a ni 	阿尼	c=0 d=8.55049e-42 t=26306
a nuan lou dong 	啊暖漏洞	c=1 d=7.68905e-27 t=26306
a o zuo 	啊哦做	c=1 d=2.36349e-31 t=26306
a tu 	阿土	c=3 d=3.01807e-50 t=26306
ai 	愛	c=1 d=0.913931 t=26306
ai chun qiu 	愛春秋	c=1 d=1.47819e-39 t=26306
ai du wang pan 	愛都網盤	c=1 d=3.75044e-22 t=26306
ai hao 	愛好	c=2 d=1.15125e-10 t=26306
ai hao i yong 	愛好i用	c=1 d=3.26103e-24 t=26306
ai li 	愛裏	c=0 d=2.83548e-27 t=26306
ai li yun 	愛裏雲	c=1 d=2.8497e-26 t=26306
ai ni 	愛你	c=1 d=6.29194e-52 t=26306
ai pa pa 	矮趴趴	c=1 d=1 t=26306
ai qi yi 	愛奇異	c=4 d=0.0194482 t=26306
ai ren 	愛人	c=0 d=0.00194482 t=26306
ai rong 	艾絨	c=0 d=1.3304e-36 t=26306
ai zhan 	愛站	c=1 d=2.02654e-45 t=26306
ai zhe 	挨着	c=1 d=1.00882e-15 t=26306
an 	安	c=4 d=6.28456e-07 t=26306
an 	按	c=9 d=1.11903e-18 t=26306
an ding 	安定	c=1 d=2.9486e-45 t=26306
an fu 	安撫	c=1 d=6.94647e-38 t=26306
an hui 	安徽	c=0 d=2.42827e-56 t=26306
an hui nian shu 	安徽唸書	c=1 d=2.44044e-55 t=26306
an jian 	案件	c=0 d=1.59169e-28 t=26306
an li 	案例	c=3 d=1.22665e-21 t=26306
an mo 	按摩	c=0 d=2.9486e-46 t=26306
an quan 	安全	c=53 d=1.20052 t=26306
an quan ce lve 	安全策略	c=1 d=1.24884e-26 t=26306
an quan fu wu 	安全服務	c=1 d=1.24973e-05 t=26306
an quan ji shu 	安全技術	c=1 d=6.46452e-45 t=26306
an quan ji zhi 	安全機制	c=1 d=1.25599e-05 t=26306
an quan li lun 	安全理論	c=2 d=9.25429e-45 t=26306
an quan ma 	安全嗎	c=2 d=1.94334e-13 t=26306
an quan ma 	按全麻	c=1 d=6.27774e-53 t=26306
an quan niu 	安全牛	c=3 d=4.72688e-09 t=26306
an quan niu ke tang 	安全牛課堂	c=1 d=1.61432e-46 t=26306
an quan sao miao shi bai 	安全掃描失敗	c=1 d=1.81834e-05 t=26306
an quan she zhi 	安全設置	c=1 d=1.18793e-26 t=26306
an quan shu xing 	安全屬性	c=2 d=1.12699e-44 t=26306
an quan yan jiu shi 	安全研究室	c=1 d=1.42028e-10 t=26306
an quan yin huan 	安全隱患	c=1 d=2.56748e-05 t=26306
an quan yu jing 	安全預警	c=1 d=0.00138785 t=26306
an quan zhi shi ti xi 	安全知識體系	c=2 d=5.69213e-48 t=26306
an ran 	安然	c=0 d=3.82099e-07 t=26306
an shu 	桉樹	c=1 d=1.6185e-47 t=26306
an wei 	安慰	c=1 d=9.02289e-56 t=26306
an wei 	按位	c=2 d=1.82274e-55 t=26306
an wei yu 	按位與	c=1 d=8.97789e-56 t=26306
an wu 	暗屋	c=1 d=6.80892e-38 t=26306
an zha 	安扎	c=1 d=2.78076e-33 t=26306
an zha u bi 	安扎U幣	c=1 d=2.79469e-32 t=26306
an zhao 	按照	c=9 d=1.32866e-07 t=26306
an zhao xin hao 	按照信號	c=1 d=1.71922e-22 t=26306
an zhuang 	安裝	c=63 d=5.214 t=26306
an zhuang bao 	安裝包	c=1 d=1.41999e-37 t=26306
an zhuang bu shang 	安裝不上	c=1 d=8.67086e-29 t=26306
an zhuang de 	安裝的	c=2 d=1.12811e-30 t=26306
an zhuang de bao 	安裝德保	c=1 d=2.93798e-32 t=26306
an zhuang guo 	安裝過	c=1 d=1.19185e-06 t=26306
an zhuang hao 	安裝好	c=1 d=1.16825e-06 t=26306
an zhuang huan cun 	安裝緩存	c=1 d=1.3126e-53 t=26306
an zhuang jiao ben 	安裝腳本	c=2 d=3.09329e-26 t=26306
an zhuang jiao cheng 	安裝教程	c=1 d=3.02859e-07 t=26306
an zhuang le 	安裝了	c=5 d=0.241542 t=26306
an zhuang ming ling 	安裝命令	c=1 d=1.93578e-06 t=26306
an zhuang mo kuai 	安裝模塊	c=1 d=0.436049 t=26306
an zhuang shi jian 	安裝時間	c=1 d=3.04263e-32 t=26306
an zhuang zai 	安裝在	c=1 d=1.89836e-41 t=26306
an zhuang zhi ding de 	安裝制定的	c=1 d=1.71269e-36 t=26306
an zhuo 	安卓	c=11 d=4.86978 t=26306
an zuan 	按鑽	c=1 d=0.496585 t=26306
ang 	昂	c=0 d=4.66682e-36 t=26306
ao 	奧	c=0 d=3.1999e-56 t=26306
ao ao 	嗷嗷	c=7 d=1.7558e-05 t=26306
ao ao 	奧奧	c=3 d=9.01396e-13 t=26306
ao da li ya 	澳大利亞	c=3 d=1.91782e-14 t=26306
ao guo li 	奧國立	c=1 d=3.08694e-55 t=26306
ao zhou 	澳洲	c=2 d=6.96138e-55 t=26306
b e t w e e n 	between	c=1 d=3.98926e-13 t=26306
ba 	吧	c=17 d=1.00215e-06 t=26306
ba 	把	c=39 d=0.876527 t=26306
ba chang 	靶場	c=2 d=0.980199 t=26306
ba le 	罷了	c=3 d=3.83349e-15 t=26306
ba sai er 	巴塞爾	c=0 d=8.59363e-13 t=26306
ba ta 	把它	c=3 d=8.01537e-16 t=26306
ba wo 	把握	c=1 d=3.69083e-10 t=26306
bai 	白	c=1 d=1.47869e-43 t=26306
bai du 	百度	c=29 d=0.0191518 t=26306
bai du fan yi 	百度翻譯	c=1 d=0.0129715 t=26306
bai du shu ru fa 	百度輸入法	c=1 d=1.00307e-36 t=26306
bai du wang pan 	百度網盤	c=7 d=3.23308e-11 t=26306
bai du yun 	百度雲	c=1 d=7.01532e-07 t=26306
bai ke 	百科	c=1 d=1.55779e-09 t=26306
bai se 	白色	c=1 d=3.06789e-41 t=26306
bai tiao 	白條	c=2 d=3.19254e-43 t=26306
bai tuo 	擺脫	c=1 d=6.80798e-07 t=26306
bai xian 	白線	c=1 d=1.81513e-43 t=26306
bai zhan ting 	拜占庭	c=1 d=1.24367e-36 t=26306
bai zhi 	白紙	c=1 d=1.85438e-30 t=26306
ban 	半	c=2 d=4.19877e-19 t=26306
ban 	板	c=4 d=1.81456 t=26306
ban 	版	c=14 d=0.00101529 t=26306
ban be 	版别	c=1 d=1.25616e-36 t=26306
ban ben 	版本	c=31 d=0.255729 t=26306
ban ben de 	版本的	c=1 d=1.58268e-19 t=26306
ban ben de ba 	版本的吧	c=1 d=5.39319e-31 t=26306
ban ben er 	扳本兒	c=1 d=3.06111e-15 t=26306
ban ben geng xin 	版本更新	c=1 d=8.67972e-41 t=26306
ban ben hao 	版本號	c=2 d=1.00213e-53 t=26306
ban ben jian rong 	版本兼容	c=1 d=7.27881e-29 t=26306
ban ben kong zhi 	版本控制	c=2 d=4.28619e-54 t=26306
ban ben xiang hou jian rong 	版本向後兼容	c=1 d=2.62604e-35 t=26306
ban ben xin xi 	版本信息	c=1 d=3.90416e-24 t=26306
ban chang 	班長	c=0 d=2.36759e-23 t=26306
ban de rui 	班的瑞	c=2 d=8.96415e-38 t=26306
ban er 	伴兒	c=0 d=1.91477e-55 t=26306
ban er bu 	伴兒不	c=1 d=1.92436e-54 t=26306
ban ge 	半個	c=2 d=2.825e-12 t=26306
ban jiao 	半角	c=1 d=2.28686e-55 t=26306
ban li 	板栗	c=1 d=0.00970611 t=26306
ban lian jie 	半連接	c=1 d=5.68554e-05 t=26306
ban tian 	半天	c=1 d=4.06072e-16 t=26306
ban tou ming 	半透明	c=1 d=1.52083e-50 t=26306
ban yun 	搬運	c=1 d=2.50657e-46 t=26306
bang ding 	綁定	c=6 d=1.62136e-10 t=26306
bang ding le 	綁定了	c=1 d=6.38802e-52 t=26306
bang ding zai 	綁定在	c=1 d=1.62949e-09 t=26306
bang ni 	幫你	c=0 d=0.0257947 t=26306
bang yang 	榜樣	c=0 d=3.54226e-57 t=26306
bang yang de li liang 	榜樣的力量	c=1 d=3.56002e-56 t=26306
bang zhu 	幫助	c=9 d=0.20727 t=26306
bang zhu ni 	幫助你	c=1 d=3.84395e-47 t=26306
bang zhu wen dang 	幫助文檔	c=3 d=1.79199e-17 t=26306
bao 	保	c=1 d=0.000103597 t=26306
bao 	包	c=44 d=2.88002 t=26306
bao 	報	c=5 d=1.70189e-13 t=26306
bao 	寶	c=1 d=4.07401e-25 t=26306
bao ben xiao 	報本校	c=1 d=1.21069e-14 t=26306
bao chi 	保持	c=0 d=8.43952e-06 t=26306
bao chi lian jie 	保持連接	c=1 d=8.48182e-05 t=26306
bao cun 	保存	c=7 d=8.54755e-39 t=26306
bao cun zai 	保存在	c=2 d=8.62284e-50 t=26306
bao cuo 	報錯	c=20 d=3.12499 t=26306
bao dian 	寶典	c=1 d=4.43454e-52 t=26306
bao fa 	爆發	c=0 d=2.13493e-12 t=26306
bao gao 	報告	c=8 d=3.05204e-29 t=26306
